state_name,district_n,Index,ft,ffid,x,y,MET_data,AV_CCCMA,AV_CNRM,AV_CSIRO,AV_IPSL,AV_MPI_MR,AV_NOAA,AV_REMO2009,Met_observed data_1976_2005,,,,
RAJASTHAN,KARAULI,291,TRUE,152,77.10890864,26.43481392,,24.11,22.46,27.11,25.1,23.15,22.19,23.75,26.08,,,,
RAJASTHAN,KOTA,324,TRUE,173,75.85255323,25.03569085,,24.03,22.52,27.14,24.9,23.28,22.32,23.08,25.87,,,,
RAJASTHAN,NAGAUR,390,TRUE,159,73.69200263,27.12961654,,23.71,22.14,26.38,24.62,23.04,21.72,23.42,26.14,,,,
RAJASTHAN,PALI,422,TRUE,170,73.34936025,25.69242209,,24.14,22.76,26.96,25.03,23.7,22.48,24,25.82,,,,
RAJASTHAN,RAJSAMAND,454,TRUE,169,73.87284167,25.14990498,,23.74,22.42,26.76,24.6,23.35,22.23,22,24.04,,,,
RAJASTHAN,SAWAI MADHOPUR,487,TRUE,153,76.3665168,26.04458232,,24.06,22.51,27.12,25.06,23.22,22.27,23.5,26.25,,,,
RAJASTHAN,SIKAR,504,TRUE,157,75.15775061,27.52936599,,23.49,21.78,26.01,24.31,22.57,21.35,22.83,25.25,,,,
RAJASTHAN,SIROHI,506,TRUE,168,72.77828961,24.74063769,,24.55,23.31,27.28,25.28,24.38,23.2,23.33,26.35,,,,
RAJASTHAN,TONK,546,TRUE,150,75.84303538,25.98747525,,24.04,22.52,27.19,25,23.29,22.32,23.25,25.79,,,,
RAJASTHAN,UDAIPUR,552,TRUE,146,73.76529003,24.61690572,,23.83,22.58,26.9,24.62,23.54,22.47,21.5,25.66,,,,
TAMIL NADU,ARIYALUR,29,TRUE,344,79.2828205,11.14989352,,26.82,25.73,28.05,27.48,26.5,26.19,26.92,28.48,,,,
TAMIL NADU,CHENNAI,112,TRUE,339,80.2774352,13.11877853,,27.27,26.52,28.61,27.7,26.73,26.63,27.08,28.43,,,,
TAMIL NADU,COIMBATORE,125,TRUE,325,77.1112649,10.79999378,,24.83,23.92,26.03,25.49,25,24.78,24.67,26.53,,,,
TAMIL NADU,CUDDALORE,126,TRUE,346,79.5207666,11.4925359,,26.87,25.97,27.76,27.3,26.5,26,27.25,28.47,,,,
TAMIL NADU,NAMAKKAL,397,TRUE,343,78.04550077,11.48301806,,25.88,24.78,27.05,26.59,25.72,25.44,25.92,27.58,,,,
TAMIL NADU,NILGIRIS (UDEGAMANDALAM),411,TRUE,324,76.68296191,11.44958663,,23.66,22.86,24.79,24.19,23.92,23.76,21.42,26.97,,,,
TAMIL NADU,PUDUKKOTTAI,440,TRUE,336,78.95296771,10.32172212,,27,25.85,28.06,27.74,26.74,26.37,26.58,28.07,,,,
TAMIL NADU,SALEM,479,TRUE,332,78.54607988,11.65659974,,25.85,24.74,27.19,26.54,25.58,25.36,25.17,27.94,,,,
TAMIL NADU,THANJAVUR,534,TRUE,337,79.21708789,10.82854731,,27.21,26.14,28.34,27.84,26.91,26.5,27,28.41,,,,
TAMIL NADU,TIRUCHCHIRAPALLI,541,TRUE,333,78.68170916,11.02128365,,26.44,25.32,27.66,27.14,26.19,25.91,26.25,27.24,,,,
TAMIL NADU,TIRUVALLUR,543,TRUE,340,80.07280155,13.30092627,,27.27,26.52,28.61,27.7,26.73,26.63,27.08,28.71,,,,
TAMIL NADU,TIRUVANNAMALAI,545,TRUE,341,79.18764206,12.56805228,,26.11,25.07,27.61,26.78,25.71,25.55,25.75,26.99,,,,
TAMIL NADU,VELLORE,568,TRUE,320,78.85511238,12.92470374,,25.16,24.04,26.56,25.91,24.74,24.61,24.17,26.62,,,,
TAMIL NADU,VILUPPURAM,570,TRUE,338,79.3812707,11.94927344,,26.61,25.54,27.91,27.24,26.26,25.99,26.83,27.92,,,,
TAMIL NADU,VIRUDUNAGAR,571,TRUE,328,77.95359409,9.479392921,,26.04,25.01,27.21,27.08,26.06,25.72,26.17,26.54,,,,
UTTARANCHAL,ALMORA,13,TRUE,72,79.73122111,29.58598198,,10.91,8.94,11.55,10.95,9.86,8.65,12.83,23.62,,,,
UTTARANCHAL,BAGESHWAR,35,TRUE,69,79.8323482,29.80608213,,10.91,8.94,11.55,10.95,9.86,8.65,12.83,20.56,,,,
UTTARANCHAL,CHAMPAWAT,103,TRUE,71,80.0821916,29.31234397,,13.84,11.98,14.62,13.99,12.83,11.68,17.33,24.64,,,,
UTTARANCHAL,DEHRA DUN,143,TRUE,63,78.0263373,30.2105905,,13.4,11.46,14.41,13.62,12.35,11.1,17.58,23.73,,,,
UTTARANCHAL,GOPESHWAR (CHAMOLI),208,TRUE,68,79.33861004,30.44258794,,7.63,5.51,8.07,7.58,6.52,5.25,9.17,16.74,,,,
UTTARANCHAL,HARDWAR,227,TRUE,64,78.12746439,29.82987674,,17.65,15.8,19.27,18.17,16.54,15.38,21.17,24.24,,,,
UTTARANCHAL,NAINITAL,393,TRUE,73,79.45758309,29.33018992,,17.61,15.8,19.12,18.13,16.5,15.4,21.08,24.63,,,,
UTTARANCHAL,PAURI (GARHWAL),432,TRUE,67,78.75802155,30.03213092,,10.52,8.5,11.2,10.57,9.46,8.2,13.42,23.67,,,,
UTTARANCHAL,PITHORAGARH,436,TRUE,70,80.59377572,30.12611963,,0.12,-2.21,0.19,0.13,-1.14,-2.5,-8.08,16.8,,,,
